game,num_purch,avg_hr
Gunpoint,53,4
"Kane & Lynch 2 Dog Days",53,5
"Shadowrun Returns",53,12
Transistor,53,6
"Zombies Monsters Robots",53,6
"Tomb Raider Legend",53,2
"La Tale",53,8
"Supreme Commander",53,16
"Fable - The Lost Chapters",53,11
"Five Nights at Freddy's",53,2
"War of the Roses Balance Beta",53,3
"Galactic Civilizations II Ultimate Edition",53,12
"Race The Sun",52,3
"America's Army 3",52,11
"Thomas Was Alone",52,2
"Defy Gravity",52,1
"Poker Night at the Inventory",52,6
"Tomb Raider Anniversary",52,3
"Tomb Raider Underworld",52,7
"Might & Magic Heroes VI",52,101
DEFCON,52,2
"Bloodline Champions",52,12
"Assassin's Creed Revelations",52,38
"Dark Messiah of Might & Magic Single Player",52,8
"Europa Universalis IV",52,195
"Dark Messiah of Might & Magic Multi-Player",52,53
"Cubic Castles",52,4
"Operation Flashpoint Dragon Rising",52,4
"Star Wars Jedi Knight Dark Forces II",51,7
"Teleglitch Die More Edition",51,2
WAKFU,51,35
"Time Clickers",51,16
"Assassin's Creed",51,12
"East India Company Gold",51,3
"S.T.A.L.K.E.R. Call of Pripyat",50,20
"Cave Story+",50,10
"Dear Esther",50,1
"Sins of a Solar Empire Rebellion",50,30
"Star Wars The Force Unleashed II",50,5
"Dungeon Siege III",50,6
"March of War",50,8
"Mount & Blade",50,25
"Ultra Street Fighter IV",49,37
"Super Hexagon",49,3
Jamestown,49,1
GRID,49,23
"Resident Evil 5 / Biohazard 5",49,9
"RollerCoaster Tycoon 3 Platinum!",49,19
"Portal Stories Mel",49,5
"Killing Floor 2",49,33
"Royal Quest",49,9
"Thief Deadly Shadows",49,4
8BitMMO,49,0
"The Bureau XCOM Declassified",49,8
"Floating Point",48,1
"Arma 2 British Armed Forces",48,0
"Arma 2 Private Military Company",48,1
Deponia,48,7
"Life Is Strange",48,14
"Fallout 2",48,11
"METAL GEAR SOLID V GROUND ZEROES",47,7
Cogs,47,2
"Fallout 3",47,18
"LEGO MARVEL Super Heroes",47,53
DiggerOnline,47,2
"Duke Nukem Forever",47,10
"Pirates of Black Cove Gold",47,0
"Two Worlds II",47,14
"Operation Flashpoint Red River",47,4
"Pillars of Eternity",47,37
"Space Pirates and Zombies",46,31
"Plague Inc Evolved",46,10
"The Last Remnant",46,16
"Dragon Nest Europe",46,52
"Defense Grid The Awakening",46,18
"Navy Field 2  Conqueror of the Ocean",46,2
"Tom Clancy's Splinter Cell Blacklist",46,17
"Dungeons & Dragons Online",46,26
"System Shock 2",45,3
"Age of Mythology Extended Edition",45,13
"Shadow Warrior",45,6
"Really Big Sky",45,1
"Crash Time II",45,2
"Pid ",45,2
"The Way of Life Free Edition",45,0
"Warhammer 40,000 Dawn of War  Dark Crusade",45,27
"Warhammer 40,000 Dawn of War  Winter Assault",45,4
"Champions Online",45,39
"MicroVolts Surge",45,8
"Magic 2014 ",45,28
"Rome Total War - Alexander",45,10
"Stronghold Crusader Extreme HD",45,7
"Stronghold Crusader HD",45,8
Risen,45,13
"Sid Meier's Railroads!",45,9
Uplink,45,5
"Giana Sisters Twisted Dreams",44,4
"Little Inferno",44,8
"The Sims(TM) 3",44,51
Synergy,44,8
C9,44,0
"CrimeCraft GangWars",44,2
"Resident Evil 6 / Biohazard 6",44,22
"Unreal Tournament 3 Black Edition",44,9
"Run and Fire",44,2
Watch_Dogs,43,18
"METAL GEAR RISING REVENGEANCE",43,10
Shadowgrounds,43,5
"Crayon Physics Deluxe",43,0
"Guardians of Middle-earth",43,2
"You Have to Win the Game",43,1
R.U.S.E,43,34
"Worms Armageddon",43,4
"Fallout Tactics",43,11
"Modular Combat",43,1
Skullgirls,42,10
Receiver,42,3
"Sonic & All-Stars Racing Transformed",42,6
"Beat Hazard",42,6
"Gone Home",42,2
"NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst",42,19
"Grand Theft Auto",42,0
"Grand Theft Auto 2",42,3
Darwinia,42,3
"Divinity II Developer's Cut",42,11
"Child of Light",41,8
"RPG Maker VX Ace",41,18
"Kung Fury",41,1
"Endless Legend",41,34
"Call of Duty Black Ops III",41,36
"Game of Thrones ",41,13
"Batman Arkham Origins Blackgate - Deluxe Edition",41,5
"Mortal Online",41,1
"X-COM UFO Defense",41,11
"Sid Meier's Pirates!",41,7
"Stealth Inc 2",41,1
"Copa Petrobras de Marcas",41,0
"Far Cry 4",40,36
"Lone Survivor The Director's Cut",40,1
"Frozen Synapse",40,6
Spelunky,40,11
"FINAL FANTASY VIII",40,26
"Remember Me",40,6
"The Secret of Monkey Island Special Edition",40,5
"Velvet Sundown",40,1
"Sniper Ghost Warrior 2",40,7
"The Guild II",40,4
"Warhammer 40,000 Dawn of War  Soulstorm",40,13
KnightShift,40,3
"Sonic Generations",39,21
"Alice Madness Returns",39,8
"Alien Isolation",39,12
"Amnesia A Machine for Pigs",39,4
"Cthulhu Saves the World ",39,3
"Shadowrun Dragonfall - Director's Cut",39,14
Shank,39,3
"Star Wars Starfighter",39,1
Deadbreed,39,3
"Tomb Raider I",39,5
BRINK,39,7
"Thinking with Time Machine",39,2
"Villagers and Heroes",39,4
"Commander Conquest of the Americas Gold",39,0
"Darkest Dungeon",39,21
"The Banner Saga",38,15
"SEGA Genesis & Mega Drive Classics",38,5
Undertale,38,14
"Cities in Motion 2",38,4
"Skullgirls Endless Beta",38,7
"From Dust",38,7
"SteamWorld Dig",38,3
"LEGO The Lord of the Rings",38,8
Hammerfight,38,3
"DARK SOULS II Scholar of the First Sin",38,51
"Pixel Piracy",38,6
"Alien Breed 2 Assault",38,5
"Ascend Hand of Kul",38,6
"EVGA PrecisionX 16",38,17
"Homeworld Remastered Collection",38,11
"The Escapists",38,13
"Mortal Kombat X",38,68
"Dungeons of Dredmor",38,28
"Project Zomboid",38,12
"X-COM Apocalypse",38,5
"X-COM Terror from the Deep",38,15
"Stranded Deep",38,18
"Echo of Soul",38,18
Nether,38,8
"Gauntlet ",38,10
Multiwinia,38,6
"Football Manager 2010",38,375
"Gratuitous Space Battles",37,10
Osmos,37,2
NightSky,37,1
"And Yet It Moves",37,1
"Europa Universalis III",37,68
"Eets Munchies",37,2
FORCED,37,3
"Tomb Raider II",37,2
"Vampire The Masquerade - Bloodlines",37,36
"Batman Arkham City",37,23
"Football Superstars",37,18
"Blood Bowl Legendary Edition",37,28
"Worms Ultimate Mayhem",37,2
"Serious Sam Classic The First Encounter",37,4
